id	article	journal	year
89	Shifting Trends in Evaluating the Credibility of CMC.		2008
90	The Untapped Learning Potential of CMC in Higher Education.		2008
91	Blogs.		2008
92	Form and Function of Metacommunication in CMC.		2008
93	Social Influence and Computer Mediated Communication.		2008
94	Composing Identity in Online Instructional Contexts.		2008
95	CMC and E-Mentoring in Midwifery.		2008
96	Information Commons and Web 2.0 Technologies.		2008
97	Digital Storytelling from Artificial Intelligence to YouTube.		2008
98	Computer Mediated Learning.		2008
99	The Psychology of Personal Web Sites.		2008
100	Stay Tuned for Podcast U and the Data on M-Learning.		2008
101	WebCom.		2008
102	The Use of CMC Technologies in Academic Libraries.		2008
103	Publishing an Internet E-Zine.		2008
104	Chat Rooms for Language Teaching and Learning.		2008
105	Podcastia.		2008
106	Product Lifecycle Management and Embedded Information Devices.		2009
107	Nanoelectronic-Based Detection for Biology and Medicine.		2009
108	Cybernetics and Learning Automata.		2009
109	Nanomanufacturing Automation.		2009
110	Medical Automation and Robotics.		2009
111	Automation and Ethics.		2009
112	Automation in Financial Services.		2009
113	Automation in Home Appliances.		2009
114	Automation in Education/Learning Systems.		2009
115	Sensors and Sensor Networks.		2009
116	What Can Be Automated? What Cannot Be Automated?.		2009
117	Machining Lines Automation.		2009
118	Real-Time Autonomic Automation.		2009
119	Machine Tool Automation.		2009
120	Design Automation for Microelectronics.		2009
121	Automation of Mobility and Navigation.		2009
122	Safety Warnings for Automation.		2009
123	Communication in Automation, Including Networking and Wireless.		2009
124	Advances in Robotics and Automation: Historical Perspectives.		2009
125	Economic Rationalization of Automation Projects.		2009
126	Rotary Heart Assist Devices.		2009
127	Computer-Aided Design, Computer-Aided Engineering, and Visualization.		2009
128	Teleoperation.		2009
129	A History of Automatic Control.		2009
130	e-Government.		2009
131	Human Factors in Automation Design.		2009
132	Control Theory for Automation - Advanced Techniques.		2009
133	Welding Automation.		2009
134	Automation Statistics.		2009
135	Industrial Intelligent Robots.		2009
136	Service Robots and Automation for the Disabled/Limited.		2009
137	The Smart Building.		2009
138	Collaborative Analytics for Astrophysics Explorations.		2009
139	Control Theory for Automation: Fundamentals.		2009
140	Decision Support Systems.		2009
141	Distributed Agent Software for Automation.		2009
142	Software Management.		2009
143	Collaborative e-Work, e-Business, and e-Service.		2009
144	Social, Organizational, and Individual Impacts of Automation.		2009
145	Digital Manufacturing and RFID-Based Automation.		2009
146	Impacts of Automation on Precision.		2009
147	Virtual Reality and Automation.		2009
148	e-Commerce.		2009
149	Trends in Automation.		2009
150	Air Transportation System Automation.		2009
151	Automation: What It Means to Us Around the World.		2009
152	Vehicle and Road Automation.		2009
153	Production, Supply, Logistics and Distribution.		2009
154	Automation and Robotics in Mining and Mineral Processing.		2009
155	Automation in Sports and Entertainment.		2009
156	Automating Errors and Conflicts Prognostics and Prevention.		2009
157	Space and Exploration Automation.		2009
158	Control System for Automated Feed Plant.		2009
159	Automation in Agriculture.		2009
160	Flexible and Precision Assembly.		2009
161	Aircraft Manufacturing and Assembly.		2009
162	Construction Automation.		2009
163	Automation in Food Processing.		2009
164	Evolutionary Techniques for Automation.		2009
165	The Human Role in Automation.		2009
166	Large-Scale Complex Systems.		2009
167	Automating Information and Technology Services.		2009
168	Automation in Hospitals and Healthcare.		2009
169	Library Automation.		2009
170	Medical Informatics.		2009
171	Artificial Intelligence and Automation.		2009
172	Automation and Control in Biomedical Systems.		2009
173	Process Automation.		2009
174	Automating Serious Games.		2009
175	Material Handling Automation in Production and Warehouse Systems.		2009
176	Computer and Robot-Assisted Medical Intervention.		2009
177	Business Process Automation.		2009
178	Semiconductor Manufacturing Automation.		2009
179	Advances in Industrial Automation: Historical Perspectives.		2009
180	Reliability, Maintainability, and Safety.		2009
181	Product Automation.		2009
182	Modeling and Software for Automation.		2009
183	Education and Qualification for Control and Automation.		2009
184	Securing Electrical Power System Operation.		2009
185	Automation in the Wood and Paper Industry.		2009
186	Flight Deck Automation.		2009
187	Mechatronic Systems - A Short Introduction.		2009
188	Service Automation.		2009
189	Automation Under Service-Oriented Grids.		2009
190	Economic Aspects of Automation.		2009
191	Control of Uncertain Systems.		2009
192	Automatic Control in Systems Biology.		2009
193	Integrated Human and Automation Systems.		2009
194	Cleaning Automation.		2009
195	Industrial Communication Protocols.		2009
196	Practical Automation Specification.		2009
197	Collaborative Human-Automation Decision Making.		2009
198	Enterprise Integration and Interoperability.		2009
199	Quality of Service (QoS) of Automation.		2009
200	Process-Aware Information Systems: Design, Enactment, and Analysis.		2008
201	Operating Systems: A Business Perspective.		2008
202	Ethics and Professional Responsibility in Computing.		2008
203	Solid Modeling.		2008
204	Backtracking.		2008
205	Virtual Clothing.		2008
206	System Monitoring.		2008
207	Volume Graphics and Volume Visualization.		2008
208	Introduction to Game Theory.		2008
209	Thrashing.		2008
210	Discrete Event Systems: Untimed Models and their Analysis.		2008
211	Human - Computer Interaction.		2008
212	Multigrid Methods.		2008
213	Capability Maturity Models (CMM).		2008
214	File Organizations.		2008
215	Mesh Deformation.		2008
216	Machine Learning.		2008
217	Disk Storage.		2008
218	Robot Path Planning.		2008
219	Great Principles of Computing.		2008
220	Algorithmic Music.		2008
221	Intelligent Power System.		2008
222	Behavioral Sciences and Computing.		2008
223	Face Recognition Techniques.		2008
224	Granular Computing.		2008
225	Software Effort Prediction.		2008
226	Fault-Tolerant Computing.		2008
227	Logic Synthesis.		2008
228	Coordination and Synchronization: Designing Practical Detectors for Large-Scale Distributed Systems.		2008
229	Dataflow Computers: Their History and Future.		2008
230	Computerized Dictionaries: Integrating Portable Devices, Translation Software, and Web Dictionaries to Maximize Learning.		2008
231	Data Communication.		2008
232	Unified Modeling Language (UML).		2008
233	Crowd Simulation.		2008
234	Programmable Logic Arrays.		2008
235	Specification Formalisms and Models.		2008
236	Parameter Passing.		2008
237	Autonomy-Oriented Computing (AOC).		2008
238	Multicast Protocols and Algorithms.		2008
239	Software Reliability.		2008
240	Radiosity.		2008
241	Program Assemblers.		2008
242	Hardware Based Rapid Prototyping.		2008
243	Virtual Memory.		2008
244	Data Mining.		2008
245	Asynchronous Transfer Mode Networks.		2008
246	Linear and Nonlinear Programming.		2008
247	Time-Sharing Systems.		2008
248	Artificial Neural Networks.		2008
249	Decision Support Systems: Foundations and Variations.		2008
250	Design Patterns.		2008
251	Aspect-Oriented Software Development: an Introduction.		2008
252	Model Checking.		2008
253	Transport Layer.		2008
254	Monitor.		2008
255	Finite Element Method.		2008
256	Graph Theory and Algorithms.		2008
257	Perspectives on Software Engineering Professionalism.		2008
258	3-D Point Correspondence and Registration.		2008
259	Addressing: Direct and Indirect.		2008
260	Algebraic Coding Theory.		2008
261	Pattern Recognition.		2008
262	WiMAX Networks.		2008
263	Fingerprint Identification.		2008
264	Embedded Software.		2008
265	Fuzzy Modeling Fundamentals.		2008
266	Analytical Customer Relationship Management.		2008
267	Biology Computing.		2008
268	Intelligent Agent.		2008
269	Knowledge Verification.		2008
270	Formal Program Verification.		2008
271	Statistical Methods for Target Tracking.		2008
272	Temporal Databases.		2008
273	Data Search Engine.		2008
274	Cerebellar Model Arithmetic Computer.		2008
275	Parametric Surface Rendering.		2008
276	Data Compression.		2008
277	Clusters and Grids.		2008
278	Markov Chains.		2008
279	Swapping.		2008
280	Functional Programming.		2008
281	Communication-Induced Checkpointing Protocols and Rollback-Dependency Trackability: A Survey.		2008
282	Robust Resource Allocation in Heterogeneous Parallel and Distributed Computing Systems.		2008
283	Posets and Lattices.		2008
284	Home Computing Services.		2008
285	Data Privacy.		2008
286	Information Systems and Computer Science and Engineering.		2008
287	Cryptography.		2008
288	Electronic Calculators.		2008
289	Storage Area Networks.		2008
290	Collaborative Virtual Environment: System Architectures.		2008
291	Robot Kinematics.		2008
292	Kernel-Based Topographic Maps: Theory and Applications.		2008
293	Carry Logic.		2008
294	Spreadsheet Programming.		2008
295	Geometric Programming.		2008
296	Graphical User Interfaces.		2008
297	Throughput.		2008
298	Knowledge Acquisition.		2008
299	Aircraft Computers.		2008
300	Computer-Supported Asynchronous Learning: The Relevance of Communication and Facilitation.		2008
301	Probability and Statistics.		2008
302	LCD Design Techniques.		2008
303	Lighting.		2008
304	Knowledge-Based Computation.		2008
305	Fluency with Information Technology.		2008
306	Data Security.		2008
307	Bioinformatics.		2008
308	Logic Design.		2008
309	VLSI Circuit Layout.		2008
310	Information Age.		2008
311	Computational Complexity Theory.		2008
312	Parallel Programming Tools.		2008
313	Geometric Camera Calibration.		2008
314	Multiagent Systems.		2008
315	Real-Time Systems: An Introduction and the State-of-the-Art.		2008
316	Optical Disk Data Storage, Distribution and Retrieval.		2008
317	Web Intelligence (WI).		2008
318	Algorithm-Based Fault-Tolerant Cryptography.		2008
319	Quality in Computer Science and Computer Engineering Education.		2008
320	Optimizing Compilers.		2008
321	Embedded Operating Systems.		2008
322	Programming Models: Client - Server, Process Groups, and Peer-to-Peer.		2008
323	Surface Modeling.		2008
324	Distributed Databases.		2008
325	Rendering.		2008
326	Entity-Relationship Model.		2008
327	Financial Applications: Stock Markets.		2008
328	Video Conferencing and IP Telephony.		2008
329	Dimensionality Reduction.		2008
330	Bioinformatic Databases.		2008
331	Software Aging and Rejuvenation.		2008
332	Analog-to-Digital Conversion in the Early Twenty-First Century.		2008
333	Visual Database.		2008
334	Automatic Test Generation.		2008
335	Large-Scale Group Collaboration Systems.		2008
336	Formal Logic.		2008
337	Robot Motion Planning.		2008
338	Virtual Memory and Buffer Storage.		2008
339	Component-Based Software Engineering.		2008
340	Logic Testing.		2008
341	Middleware for Distributed Systems.		2008
342	Authentication, Access Control, and Information Flow.		2008
343	Dynamic Programming.		2008
344	Digital Arithmetic.		2008
345	Cooperative Database Systems.		2008
346	Fiber-Optic Communication Networks.		2008
347	Women in Computing.		2008
348	Mobile and Ubiquitous Computing.		2008
349	Home Automation.		2008
350	Environmental Science Computing.		2008
351	Fixed-Point Computer Arithmetic.		2008
352	Peer-to-Peer Communication.		2008
353	Spellchecker.		2008
354	Data Warehouse.		2008
355	Software Instrumentation.		2008
356	Electronic Warfare.		2008
357	Visual Programming Languages.		2008
358	Education and Training in Software Engineering.		2008
359	Fault-Tolerant Software.		2008
360	Collaborative Virtual Environment: Web-Based Issues.		2008
361	Program Transformation: What, How, and Why.		2008
362	Edge Detection in Grayscale, Color, and Range Images.		2008
363	Reason Maintenance Systems: Tools for Foundations-Based Belief Revision.		2008
364	Object-Oriented Databases.		2008
365	Interconnection Networks for Parallel Computers.		2008
366	Reduced Instruction Set Computing.		2008
367	Computer Animation.		2008
368	Software Dependability.		2008
369	Proofs of Correctness in Mathematics and Industry.		2008
370	Software Architecture.		2008
371	Algebraic Geometry.		2008
372	Electronic Data Interchange.		2008
373	Locality Principle.		2008
374	Software Quality Modeling as a Reliability Tool.		2008
375	Warping and Morphing.		2008
376	Robotic Tactile Sensors.		2008
377	Information Algebra.		2008
378	Failure Detectors for Asynchronous Distributed Systems: An Introduction.		2008
379	Program Compilers.		2008
380	Theory and Algorithms of Perceptual Grouping.		2008
381	FPGA PAL Design Tools.		2008
382	Shared Memory Multiprocessors.		2008
383	Autonomous Surveillance Systems.		2008
384	Agent Technology.		2008
385	Remote Sensing Information Processing.		2008
386	CoXML: Cooperative XML Query Answering?		2008
387	Software Quality Classification Models.		2008
388	Managing and Mining Multimedia Data, Animations and Annotations.		2008
389	Instruction Sets.		2008
390	Active Database Systems.		2008
391	Agile Software Development.		2008
392	The Computing Field: Structure.		2008
393	Side Effects.		2008
394	Class and Object.		2008
395	Computer Engineering Education.		2008
396	High-Quality Texture Mapping and Rendering of Point Models.		2008
397	Bayesian Belief Networks.		2008
398	Computer Games.		2008
399	Concurrent Programming.		2008
400	Neural Network Architectures.		2008
401	Speculation.		2008
402	Scale-Space.		2008
403	Vienna Development Method.		2008
404	Wide Area Networks.		2008
405	Active Contours: Snakes.		2008
406	Metropolitan Area Networks.		2008
407	Agent-Oriented Software Engineering.		2008
408	Parallel Architectures.		2008
409	Cybernetics.		2008
410	Parallel and Vector Programming Languages.		2008
411	Transaction Processing in Mobile, Heterogeneous Database Systems.		2008
412	Fractals.		2008
413	Cognitive Systems and Cognitive Architectures.		2008
414	Communication Processors for Wireless Systems.		2008
415	Rapid Prototyping.		2008
416	Software Configuration Management.		2008
417	Computing Pre-University: Challenges in K-12 Computing Education.		2008
418	Lambda-Calculus.		2008
419	Distributed Project Management.		2008
420	Microcomputers.		2008
421	Ray Tracing Acceleration Techniques.		2008
422	Computing Accreditation: Evolution and Trends Associated with U.S. Accrediting Agencies.		2008
423	Formal Specification.		2008
424	Expert Decision System for Robot Selection.		2008
425	Data Analysis.		2008
426	Radiometric Camera Calibration.		2008
427	Overhead.		2008
428	Queueing Theory.		2008
429	Genetic Algorithms.		2008
430	Statistical Databases.		2008
431	Regression Analysis.		2008
432	Program Interpreters.		2008
433	Computability.		2008
434	Software Performance Evaluation.		2008
435	Object-Oriented Analysis and Design.		2008
436	Medical Image Processing.		2008
437	Computing Pre-University: Primary Computing Education.		2008
438	Content-Based Multimedia Retrieval.		2008
439	Digital Sound Synthesis for Multimedia Audio.		2008
440	Visual Software Engineering.		2008
441	Computer Music Composition/Analysis.		2008
442	Database Languages.		2008
443	Software Security.		2008
444	Geometric Modeling in Computer Vision: An Introduction to Projective Geometry.		2008
445	Rough Set Theory.		2008
446	Software Product Certification.		2008
447	Information Technology.		2008
448	Methods for Acceleration of Convergence (Extrapolation) of Vector Sequences.		2008
449	Expert Systems.		2008
450	Spatial Databases.		2008
451	Nuclear Reactor Instrumentation and Control Systems.		2008
452	Hopfield Neural Networks.		2008
453	Deductive Databases.		2008
454	Data Classification.		2008
455	Working Set.		2008
456	Color: Color Models.		2008
457	Floating-Point Computer Arithmetic.		2008
458	Software Safety.		2008
459	Queueing Networks.		2008
460	Knowledge Management Application.		2008
461	Data Handling in Intelligent Transportation Systems.		2008
462	Computational Number Theory.		2008
463	Document Image Analysis and Recognition.		2008
464	Neural Controllers.		2008
465	Time and State in Asynchronous Distributed Systems.		2008
466	Ad Hoc and Sensor Networks.		2008
467	Kernel.		2008
468	Requirements Specification and Analysis.		2008
469	Color Perception.		2008
470	OS for Graphics and Multimedia.		2008
471	Computer Architecture.		2008
472	Fuzzy Logic Control Systems.		2008
473	Wireless Networks.		2008
474	Computational Intelligence.		2008
475	Software Component Repositories.		2008
476	Very Large Databases.		2008
477	Relational Databases.		2008
478	Collaborative Virtual Environment: Applications.		2008
479	Distance Education in Computer Science.		2008
480	Software Module Risk Analysis.		2008
481	Operating Systems for Wireless Embedded Devices.		2008
482	Mixed Integer Programming.		2008
483	Level Set Methods.		2008
484	Geographic Information Systems.		2008
485	Surface Deformation.		2008
486	Artifical Intelligence Languages.		2008
487	Software Engineering for Telecommunications Systems.		2008
488	Software Testing: Testing New Software Paradigms and New Artifacts.		2008
489	Rounding Errors.		2008
490	Software Verification and Validation.		2008
491	Input Devices.		2008
492	Distributed and Collaborative Development.		2008
493	Network Flow and Congestion Control.		2008
494	Image Segmentation by Region Based and Watershed Algorithms.		2008
495	Video Databases.		2008
496	Software Metrics.		2008
497	Answer Set Programming.		2008
498	Computing Pre-University: Secondary Level Computing Curricula.		2008
499	Assembly Language.		2008
500	Network Reliability and Fault-Tolerance.		2008
501	Network Security Fundamentals.		2008
502	Biologically Inspired Neural Computation.		2008
503	Data Compression Codes, Lossy.		2008
504	Data Storage on Magnetic Disks.		2008
505	Software Cybernetics.		2008
506	Choice Uncertainty Principle.		2008
507	Quantum Computing.		2008
508	Real Time Database Systems.		2008
509	Optical Communication.		2008
510	Approximation Theory.		2008
511	CD-ROMs and Computer Systems.		2008
512	Transaction Processing.		2008
513	Autonomous Decentralized Systems.		2008
514	Computational Materials Physics.		2008
515	Abstract Data Types.		2008
516	Software Reusability.		2008
517	Gradient-Based Optimization Techniques for Discrete Event Systems Simulation.		2008
518	Computer-Aided Instruction.		2008
519	Markov Chain Monte Carlo Simulations.		2008
520	Parallel Database Management Systems.		2008
521	Data Structures and Algorithms.		2008
522	Distributed File Systems.		2008
523	Chomsky Hierarchy.		2008
524	Evolutionary Learning.		2008
525	Microprogramming.		2008
526	Shape from Shading.		2008
527	Service-Oriented Architecture and Web Services.		2008
528	Ad-Coop Positioning System: Embedded Kalman Filter Data Fusion.		2008
529	Wireless LANs (WLANs): Real-Time Services with Quality of Service (QoS) Support.		2008
530	Wireless Mesh Networks: Architecture, Protocols, and Applications.		2008
531	Nomadic Users: Context-Aware Information Retrieval.		2008
532	Wireless Sensor Networks (WSNs).		2008
533	Wireless Sensor Networks (WSNs): Heterogeneous Networks.		2008
534	Service Delivery Platforms.		2008
535	MANET: Clustering Techniques.		2008
536	Access Methods.		2008
537	Wireless Multimedia Systems: Cross Layer Considerations.		2008
538	Microcells.		2008
539	Adaptation Techniques.		2008
540	OFDM-Based Systems: Modem Architectures.		2008
541	Spectral Efficiency.		2008
542	Smart Phones.		2008
543	Spectral Efficiency: Wireless Multicarrier Communications.		2008
544	Multimedia Streaming: Mobile Networks.		2008
545	Mobile Communications: Coding Techniques.		2008
546	Ad Hoc Networks: GPS-Based Routing Algorithm.		2008
547	Wireless Networks: VoIP Service.		2008
548	RF Transceiver Architectures.		2008
549	Mobile Terminals: Recommendation Services.		2008
550	Wireless LANs (WLANs): Security and Privacy.		2008
551	Wireless Networks: TCP.		2008
552	Wireless Sensor Networks (WSNs): Security.		2008
553	Image and Video Communication: Joint Source Channel Coding.		2008
554	Multimedia Applications in Ad Hoc Networks: Quality of Service (QoS) Support Cross-Layered Approach.		2008
555	Smart Phones: Operating Systems.		2008
556	Mobile Streaming: Performance Issues.		2008
557	Unlicensed Mobile Access: Architecture and Protocols.		2008
558	Video Communications.		2008
559	Wireless Sensor Networks (WSNs): Time Synchronization.		2008
560	MANET: Multicast Protocols.		2008
561	Manet.		2008
562	OFDM: Technology.		2008
563	Mobile Devices: Quality of Service (QoS) Adaptation Using MPEG-21.		2008
564	Gsm.		2008
565	IEEE 802.16 Wireless Metropolitan Area Networks (WMANs).		2008
566	P2P: Overlay Multicast.		2008
567	Gprs.		2008
568	Mobile Communications: Locating Position of Mobile Stations.		2008
569	Wireless Networks: Transmitter Power Control.		2008
570	Wireless Sensor Networks (WSNs): Optimization of the OSI Network Stack for Energy Efficiency.		2008
571	Smart Antenna Systems: Architecture.		2008
572	Bluetooth Systems.		2008
573	IEEE 802.11 Wireless LANs (WLANs): Security.		2008
574	Ultra-Wideband: Applications.		2008
575	Wireless Networks: Error Resilient Video Transmission.		2008
576	Location-Based Services.		2008
577	Mobile Wireless Systems: Channel Characterization.		2008
578	IP Networks: Personal Mobility Challenges.		2008
579	Telemetering: GSM Systems and Technologies.		2008
580	Cellular Data Networks: Handoff and Rerouting.		2008
581	Wireless Internet: Fundamentals.		2008
582	Image and Video Communication: Power Optimized.		2008
583	Land Mobile Communication Systems: Phased-Array Antennas.		2008
584	IEEE 802.11 Wireless LANs (WLANs): Clustering and Roaming Techniques.		2008
585	Mobile Systems: Migrating from 3G to 4G.		2008
586	Mobile Systems: Quality of Service (QoS).		2008
587	Wireless Channels: Link Adaptation Techniques.		2008
588	Mobile Sensor Networks.		2008
589	Cellular Systems: 1G.		2008
590	Mobile IP.		2008
591	Content Repurposing: Ontology-Based Approach for Mobile Devices.		2008
592	IEEE 802.16 Wireless Metropolitan Area Networks (WMANs): Resource Management.		2008
593	Ad Hoc Networks: Technologies.		2008
594	IEEE 802.15.4: Low Rate Wireless Personal Area Networks (PANs).		2008
595	Media Streaming: Transmission Strategies in P2P Networks.		2008
596	MANET: Location-Aware Routing.		2008
597	Modulation Methods.		2008
598	Wireless Networks: Routing with Intermittent Connectivity.		2008
599	Wireless Data.		2008
600	User Data Synchronization.		2008
601	Mobile Wireless Systems: Location Prediction Algorithms.		2008
602	IEEE 802.15.4: Signature-Based Intrusion Detection in Wireless Sensor Networks (WSNs).		2008
603	Mobile Commerce.		2008
604	Smart Inter-Processor Communicator Protocol Stack.		2008
605	Mobile Streaming: Standards.		2008
606	IEEE 802.11 Wireless LANs (WLANs): Quality of Service (QoS) Support.		2008
607	Multimedia Broadcast Multicast Service (MBMS).		2008
608	IEEE 802.15.4: MAC Layer Attacks in Sensor Clusters.		2008
609	Mobile Multimedia Transmission: Codecs.		2008
610	Green Mobile Communications.		2008
611	Multihop Cellular Network Architectures.		2008
612	High-Speed Wireless Internet Access: Multiantenna Technology.		2008
613	Wireless Sensor Networks (WSNs): Secure Localization.		2008
614	Edge.		2008
615	Image and Video Communication: Source-Channel Distortion Modeling.		2008
616	Wireless LANs (WLANs).		2008
617	TDMA/TDD Wireless Networks: Quality of Service (QoS) Mechanisms.		2008
618	Rerouting Schemes: Performance Evaluation.		2008
619	RF Systems Design.		2008
620	IP Multimedia Subsystems (IMS).		2008
621	IP Networks: Terminal Mobility Challenges.		2008
622	Mobile Games: Multiplayer.		2008
623	Cellular Systems: 3G.		2008
624	Wireless Communications: Signal Processing Tools.		2008
625	Dynamic Wireless Sensor Networks (WSNs): Architecture and Modeling.		2008
626	CDMA Networks.		2008
627	Wireless Sensor Networks (WSNs): Central Node and Mobile Node Design and Development.		2008
628	Spread Spectrum Communications.		2008
629	Mobile Communications: Power Control.		2008
630	Integrated Wireless LANs (WLANs) and Cellular Networks: Managing Handovers.		2008
631	Resource Allocation Using Game Theory.		2008
632	Mobile Communications: Call Admission Control.		2008
633	Auditory Interfaces for Mobile Devices.		2008
634	Mobile Health: Wireless Body Sensor Network Integration.		2008
635	IP Networks: User Mobility.		2008
636	Wireless Communications: Spatial Diversity.		2008
637	Diversity Techniques.		2008
638	Optical Networks: Resource Management and Allocation.		2008
639	Wireless Asynchronous Transfer Mode (ATM): Quality of Service (QoS).		2008
640	Optical Broadband Services Networks.		2008
641	Cognitive Radio Implementation.		2008
642	Ad Hoc Networks: Security.		2008
643	Mobile and Wireless Technologies: Spatial Presence.		2008
644	Ultra-Wideband: Communications.		2008
645	Channel Assignment: Fixed and Dynamic.		2008
646	Ad Hoc Networks: Power-Conservative Designs.		2008
647	Wireless Sensor Networks (WSNs): Characteristics and Types of Sensors.		2008
648	Cordless Telephone Standard CT-2.		2008
649	Optical Networks: Architectures.		2008
650	MANET: Multicasting.		2008
651	Wireless Networks: Cross Layer MAC Design.		2008
652	Wireless Sensor Networks (WSNs): Self-Organization.		2008
653	Content Repurposing: Multimedia.		2008
654	Body Area Networks.		2008
655	Mobile Music.		2008
656	Multicarrier Transceivers: Peak-to-Average Power Radio Reduction.		2008
657	Compact Dual-Band Direct Conversion CMOS Transceiver.		2008
658	Video Streaming: Reliable Wireless Streaming with Digital Fountain Codes.		2008
659	Wireless Internet: Applications.		2008
660	Wireless Applications: Middleware Security.		2008
661	IEEE 802.11 Wireless LANs (WLANs).		2008
662	Cellular Base Stations: Open Standards.		2008
663	Long Term Evolution (LTE) of Mobile Radio Communications.		2008
664	IEEE 802.16d: Worldwide Interoperability for Microwave Access (WiMax).		2008
665	MIMO: Wireless Communications.		2008
666	Mobile Communications: 4G.		2008
667	Broadcasting Multimedia Transport: 3G and Future Mobile Networks.		2008
668	Generic Context Management Framework: Contextual Reasoning.		2008
669	Mobile P2P: Computing.		2008
670	Mobile Internet Technologies.		2008
671	Packet Access: High-Speed Downlink.		2008
672	Wireless Sensor Networks (WSNs): Key Management Schemes.		2008
673	Cellular Systems.		2008
674	Wireless Asynchronous Transfer Mode (ATM): Internetworking.		2008
675	Optical Communication Networks: Trends.		2008
